episode,deposited_agent,deposited_opp,win_rate,mean_entropy,mean_value,mean_kl,lambda_bc,lr,n_steps
30,7571.666666666667,18748.166666666668,0.16666666666666666,0.25289174914360046,30.234132766723633,0.9738991967884891,0.962,1e-05,21194
31,13735.0,23046.833333333332,0.16666666666666666,0.2340063601732254,32.96086502075195,1.2911870251849014,0.9524999999999999,1e-05,26956
32,9950.333333333334,24774.333333333332,0.0,0.191212996840477,31.473617553710938,0.802290952610738,0.943,1e-05,26182
33,8849.166666666666,21316.0,0.16666666666666666,0.2117687612771988,30.509811401367188,0.8224523268388898,0.9334999999999999,1e-05,22751
34,6829.666666666667,25626.0,0.16666666666666666,0.15644913911819458,30.890111923217773,0.9063215986186383,0.924,1e-05,26003
35,8608.333333333334,20625.166666666668,0.0,0.18250025808811188,29.516357421875,0.7486448242114141,0.9145,1e-05,19752
36,8618.333333333334,27053.666666666668,0.16666666666666666,0.18490679562091827,29.954469680786133,0.8071322679519654,0.905,1e-05,24114
37,10118.833333333334,22433.666666666668,0.3333333333333333,0.2067503035068512,30.38665008544922,0.7799055507549872,0.8955,1e-05,23154
38,11122.5,16473.833333333332,0.3333333333333333,0.2381787896156311,30.061525344848633,0.9680135835100103,0.886,1e-05,27605
39,8008.5,18459.833333333332,0.5,0.17093949019908905,30.08490753173828,0.6098279833066754,0.8765,1e-05,20933
40,8277.833333333334,32685.5,0.0,0.14157086610794067,30.353300094604492,0.5498830191791058,0.867,1e-05,20452
41,9493.5,28514.166666666668,0.0,0.15659946203231812,29.356454849243164,0.686767032612925,0.8574999999999999,1e-05,23468
42,8517.666666666666,31233.833333333332,0.16666666666666666,0.23076783120632172,28.79192352294922,0.7353632707020332,0.848,1e-05,22115
43,11813.166666666666,23553.0,0.3333333333333333,0.2276349812746048,29.656736373901367,0.8176468953350994,0.8384999999999999,1e-05,27254
44,16686.333333333332,29243.166666666668,0.16666666666666666,0.21796448528766632,30.855236053466797,0.8638934736666473,0.8290000000000001,1e-05,29195
45,11238.5,30911.666666666668,0.0,0.14403124153614044,29.77048683166504,0.5791678465902805,0.8195,1e-05,24570
46,10646.666666666666,19281.833333333332,0.16666666666666666,0.1514665186405182,29.659034729003906,0.8360258689522744,0.81,1e-05,25535
47,9227.833333333334,25577.5,0.0,0.15666282176971436,28.16931915283203,0.6798574331463599,0.8005,1e-05,24981
48,9293.333333333334,29727.666666666668,0.16666666666666666,0.12996506690979004,28.975997924804688,0.5417061944802603,0.791,1e-05,25100
49,9813.166666666666,24358.0,0.16666666666666666,0.18036140501499176,28.144283294677734,0.6217370813091596,0.7815,1e-05,22805
50,7468.166666666667,26228.0,0.0,0.15464109182357788,28.090633392333984,0.531010491725726,0.772,1e-05,19737
51,11256.666666666666,19765.833333333332,0.3333333333333333,0.20017465949058533,28.097633361816406,0.7968925393008172,0.7625,1e-05,23875
52,6624.333333333333,30690.5,0.0,0.15985330939292908,26.08530616760254,0.8634782807624086,0.753,1e-05,24014
53,13147.333333333334,30709.833333333332,0.0,0.1953735202550888,27.47989845275879,1.0872288576836855,0.7434999999999999,1e-05,26917
54,13816.333333333334,26962.0,0.16666666666666666,0.1626485139131546,27.992835998535156,0.9882132579695504,0.734,1e-05,26942
55,20184.5,24275.5,0.5,0.2675749659538269,29.785558700561523,0.9758108345280706,0.7244999999999999,1e-05,28705
