episode,reward,avg100_reward,deposited,mean_entropy,elapsed_sec,stay,north,east,south,west,random,home,prospect
135,640.00,853.19,169,1.954,58.1,0.163,0.141,0.124,0.109,0.151,0.164,0.006,0.141
136,592.00,845.21,328,1.934,58.7,0.132,0.096,0.163,0.098,0.142,0.206,0.008,0.155
137,556.00,848.07,287,1.949,59.2,0.163,0.065,0.103,0.154,0.171,0.238,0.005,0.100
138,1086.00,839.88,962,1.972,60.2,0.196,0.101,0.149,0.116,0.117,0.171,0.029,0.121
139,624.00,841.77,367,1.898,60.4,0.146,0.043,0.146,0.116,0.201,0.232,0.000,0.116
140,518.00,840.13,272,1.962,61.0,0.197,0.087,0.141,0.138,0.144,0.174,0.013,0.105
141,627.00,836.23,265,1.963,61.4,0.151,0.080,0.157,0.144,0.137,0.204,0.030,0.097
142,1047.00,834.99,732,1.950,61.8,0.177,0.113,0.127,0.146,0.102,0.180,0.022,0.133
143,894.00,830.40,857,1.989,62.8,0.200,0.117,0.112,0.129,0.118,0.178,0.027,0.118
144,1749.00,833.26,634,1.926,63.1,0.227,0.144,0.114,0.122,0.114,0.135,0.004,0.140
145,650.00,830.41,417,1.947,63.8,0.168,0.127,0.200,0.139,0.067,0.180,0.008,0.112
146,1206.00,834.77,658,1.941,64.3,0.215,0.121,0.162,0.116,0.093,0.162,0.010,0.121
147,405.00,831.61,279,1.963,65.1,0.197,0.088,0.144,0.137,0.105,0.178,0.017,0.135
148,1413.00,836.09,956,1.915,65.5,0.262,0.094,0.142,0.120,0.081,0.142,0.010,0.149
149,616.00,831.92,433,1.943,65.8,0.210,0.112,0.155,0.090,0.133,0.193,0.009,0.099
150,892.00,830.01,717,2.015,66.6,0.194,0.114,0.088,0.158,0.098,0.151,0.088,0.109
151,1670.00,838.31,1227,1.909,66.8,0.175,0.103,0.071,0.214,0.159,0.087,0.056,0.135
152,1447.00,839.47,726,1.817,67.0,0.259,0.081,0.104,0.200,0.148,0.111,0.022,0.074
153,513.00,836.75,259,1.942,67.6,0.237,0.106,0.097,0.227,0.114,0.138,0.019,0.063
154,665.00,831.92,245,1.963,68.3,0.189,0.143,0.102,0.166,0.158,0.148,0.021,0.072
155,878.00,833.02,456,1.858,68.5,0.211,0.109,0.054,0.211,0.177,0.163,0.014,0.061
156,376.00,830.76,285,1.982,68.9,0.194,0.166,0.103,0.123,0.151,0.154,0.040,0.069
157,1375.00,830.41,442,1.573,69.1,0.418,0.114,0.038,0.101,0.076,0.152,0.000,0.101
158,1024.00,828.86,929,1.997,69.7,0.206,0.143,0.102,0.106,0.129,0.161,0.065,0.088
159,1181.00,837.43,944,1.974,70.4,0.169,0.140,0.110,0.115,0.127,0.196,0.035,0.108
160,642.00,838.68,623,2.004,71.2,0.183,0.139,0.102,0.124,0.148,0.148,0.039,0.117
161,631.00,836.77,513,1.983,71.7,0.183,0.135,0.090,0.177,0.110,0.143,0.022,0.140
162,693.00,837.20,186,1.917,71.9,0.309,0.084,0.096,0.118,0.073,0.140,0.028,0.152
163,436.00,832.10,355,2.009,72.5,0.196,0.189,0.088,0.072,0.137,0.127,0.041,0.150
164,1058.00,838.32,966,1.972,73.0,0.245,0.116,0.074,0.108,0.118,0.137,0.042,0.161
165,512.00,836.64,500,2.018,73.7,0.180,0.135,0.077,0.131,0.151,0.117,0.056,0.153
166,854.00,829.95,742,2.032,74.7,0.179,0.137,0.095,0.129,0.113,0.118,0.077,0.151
167,1139.00,835.99,926,1.980,75.0,0.156,0.160,0.100,0.152,0.165,0.117,0.030,0.121
168,779.00,834.16,550,2.013,75.6,0.170,0.175,0.099,0.121,0.131,0.145,0.062,0.099
169,710.00,829.74,602,2.025,76.2,0.157,0.161,0.122,0.116,0.110,0.141,0.078,0.116
170,512.00,828.93,250,2.017,76.6,0.132,0.230,0.115,0.072,0.106,0.221,0.034,0.089
171,795.00,828.69,704,2.047,77.0,0.149,0.146,0.137,0.134,0.107,0.149,0.082,0.095
172,1611.00,837.36,802,2.007,77.2,0.228,0.118,0.118,0.071,0.079,0.165,0.079,0.142
173,899.00,840.35,851,1.985,77.5,0.167,0.060,0.134,0.171,0.079,0.227,0.074,0.088
174,1227.00,847.52,1001,1.909,77.6,0.229,0.101,0.165,0.138,0.028,0.193,0.037,0.110
175,853.00,846.67,826,2.054,78.3,0.175,0.089,0.108,0.137,0.101,0.137,0.135,0.116
176,981.00,849.29,713,2.032,78.8,0.149,0.101,0.089,0.157,0.125,0.141,0.073,0.165
177,973.00,851.82,784,1.990,79.0,0.186,0.076,0.076,0.178,0.136,0.195,0.093,0.059
178,953.00,849.35,899,2.053,79.8,0.225,0.090,0.090,0.077,0.130,0.138,0.095,0.156
179,575.00,851.69,443,2.065,80.8,0.144,0.114,0.118,0.108,0.121,0.135,0.108,0.152
180,763.00,851.21,763,2.053,81.8,0.149,0.116,0.111,0.107,0.095,0.142,0.140,0.140
181,1061.00,849.60,891,2.022,82.3,0.114,0.132,0.117,0.051,0.128,0.253,0.095,0.110
182,1136.00,849.43,884,2.031,82.5,0.142,0.097,0.174,0.090,0.110,0.258,0.071,0.058
183,676.00,845.60,609,2.060,83.1,0.147,0.129,0.097,0.116,0.155,0.129,0.121,0.105
184,392.00,840.53,376,2.060,84.2,0.140,0.150,0.103,0.100,0.099,0.137,0.136,0.134
