episode,reward,avg100_reward,deposited,mean_entropy,elapsed_sec,stay,north,east,south,west,random,home
98,737.00,793.62,731,1.843,34.2,0.241,0.163,0.087,0.046,0.133,0.182,0.148
99,955.00,795.25,1018,1.861,34.5,0.296,0.118,0.142,0.036,0.178,0.130,0.101
100,838.00,795.68,304,1.677,34.6,0.369,0.062,0.062,0.046,0.231,0.185,0.046
101,1091.00,797.19,669,1.726,34.8,0.318,0.065,0.169,0.052,0.182,0.162,0.052
102,2317.00,804.02,1767,1.584,35.0,0.319,0.028,0.177,0.071,0.128,0.248,0.028
103,2288.00,825.50,1364,1.311,35.1,0.484,0.066,0.121,0.000,0.088,0.231,0.011
104,1796.00,833.44,1294,1.560,35.5,0.345,0.046,0.164,0.017,0.143,0.277,0.008
105,1729.00,847.23,1011,1.493,35.7,0.266,0.051,0.139,0.038,0.108,0.392,0.006
106,1003.00,851.00,719,1.833,36.2,0.266,0.116,0.134,0.116,0.113,0.228,0.027
107,1198.00,857.49,860,1.760,36.6,0.268,0.102,0.129,0.064,0.122,0.268,0.047
108,1007.00,860.56,973,1.635,36.7,0.380,0.087,0.185,0.033,0.033,0.228,0.054
109,1219.00,868.74,707,1.683,36.9,0.462,0.132,0.121,0.066,0.033,0.132,0.055
110,707.00,872.55,738,1.889,37.5,0.212,0.151,0.157,0.086,0.098,0.175,0.122
111,423.00,872.87,326,1.780,37.7,0.250,0.194,0.222,0.148,0.083,0.046,0.056
112,642.00,867.94,314,1.528,37.8,0.257,0.426,0.129,0.050,0.020,0.079,0.040
113,1199.00,869.83,566,1.679,38.0,0.261,0.330,0.104,0.087,0.052,0.130,0.035
114,756.00,871.81,728,1.746,38.2,0.207,0.321,0.129,0.079,0.057,0.129,0.079
115,988.00,874.87,216,1.709,38.4,0.331,0.202,0.113,0.073,0.113,0.137,0.032
116,825.00,876.99,483,1.697,38.6,0.408,0.156,0.136,0.075,0.088,0.116,0.020
117,265.00,875.95,243,1.790,38.9,0.326,0.151,0.142,0.113,0.092,0.138,0.038
118,1926.00,889.57,1359,1.539,39.1,0.530,0.084,0.120,0.108,0.072,0.084,0.000
