episode,reward,avg100_reward,deposited,dropoffs_built,bank_margin,win_flag,mean_entropy,elapsed_sec,opponent,current_lr,stay,north,east,south,west,random,home,prospect,dropoff
173,23917.00,21567.18,24203,0,12473,1,1.252,4988.6,rl_v4,2.00e-04,0.426,0.187,0.041,0.125,0.052,0.005,0.015,0.149,0.000
174,15085.41,21526.33,15163,0,6652,1,1.321,5019.3,rl_v4,2.00e-04,0.405,0.158,0.055,0.144,0.045,0.004,0.016,0.172,0.000
175,13649.50,21427.38,13582,0,5053,1,1.271,5050.4,rl_v4,2.00e-04,0.360,0.226,0.050,0.120,0.064,0.008,0.022,0.150,0.000
176,25897.00,21525.51,26574,0,15121,1,1.176,5097.8,rl_v4,2.00e-04,0.471,0.175,0.030,0.108,0.041,0.005,0.008,0.162,0.000
177,23112.00,21495.37,23956,0,12274,1,1.230,5141.4,rl_v4,2.00e-04,0.517,0.157,0.017,0.111,0.041,0.005,0.008,0.145,0.000
178,20066.49,21457.87,20359,0,7937,1,1.292,5186.9,rl_v4,2.00e-04,0.421,0.145,0.029,0.161,0.075,0.012,0.019,0.139,0.000
179,25337.00,21560.26,25830,0,12365,1,1.214,5233.7,rl_v4,2.00e-04,0.447,0.198,0.032,0.070,0.077,0.007,0.016,0.154,0.000
180,17468.40,21472.18,18689,0,7438,1,1.274,5285.8,rl_v4,2.00e-04,0.481,0.136,0.009,0.086,0.073,0.022,0.021,0.172,0.000
181,24462.00,21521.37,25169,0,13928,1,1.253,5335.6,rl_v4,2.00e-04,0.475,0.135,0.032,0.120,0.046,0.005,0.009,0.179,0.000
182,23142.50,21586.45,23237,0,11510,1,1.266,5374.8,rl_v4,2.00e-04,0.415,0.152,0.027,0.129,0.072,0.004,0.015,0.186,0.000
183,22553.97,21681.40,22953,0,10777,1,1.201,5416.3,rl_v4,2.00e-04,0.445,0.128,0.018,0.122,0.058,0.005,0.014,0.210,0.000
184,28538.00,21648.62,27908,1,13858,1,1.144,5458.2,rl_v4,2.00e-04,0.486,0.144,0.027,0.081,0.060,0.007,0.016,0.178,0.000
185,5187.73,21383.47,7074,0,-4002,-1,0.992,5483.8,rl_v4,2.00e-04,0.634,0.149,0.007,0.026,0.023,0.009,0.008,0.144,0.000
186,10618.77,21236.52,12219,0,1053,1,1.267,5520.2,rl_v4,2.00e-04,0.539,0.091,0.016,0.089,0.034,0.032,0.040,0.159,0.000
187,18878.49,21263.01,19511,0,7385,1,1.264,5556.9,rl_v4,2.00e-04,0.461,0.143,0.036,0.089,0.052,0.008,0.036,0.175,0.000
188,7053.80,21086.88,8162,0,4651,1,1.154,5595.1,rl_v4,2.00e-04,0.537,0.161,0.010,0.075,0.023,0.030,0.029,0.134,0.000
189,12093.96,20918.31,12526,0,2941,1,1.323,5630.9,rl_v4,2.00e-04,0.389,0.115,0.031,0.148,0.081,0.057,0.031,0.148,0.000
190,33575.00,21053.00,35081,0,23358,1,0.925,5677.4,rl_v4,2.00e-04,0.653,0.087,0.007,0.058,0.036,0.004,0.003,0.153,0.000
191,17970.98,20956.86,18240,0,7009,1,1.240,5710.0,rl_v4,2.00e-04,0.443,0.143,0.032,0.112,0.056,0.011,0.042,0.161,0.000
192,14801.69,20908.93,15622,0,4801,1,1.247,5744.1,rl_v4,2.00e-04,0.461,0.157,0.020,0.107,0.064,0.042,0.019,0.130,0.000
193,30824.50,20851.51,31550,0,19615,1,1.120,5783.3,rl_v4,2.00e-04,0.582,0.095,0.014,0.096,0.056,0.007,0.012,0.140,0.000
194,26648.50,20926.97,27639,0,14426,1,1.195,5829.9,rl_v4,2.00e-04,0.549,0.098,0.022,0.077,0.067,0.014,0.012,0.161,0.000
195,24495.00,20964.75,24802,0,12745,1,1.178,5872.5,rl_v4,2.00e-04,0.469,0.108,0.026,0.106,0.074,0.012,0.020,0.186,0.000
196,31122.50,21085.79,32050,0,20177,1,1.187,5916.5,rl_v4,2.00e-04,0.562,0.080,0.021,0.087,0.061,0.017,0.016,0.155,0.000
197,24709.50,21106.06,25193,0,13140,1,1.225,5951.5,rl_v4,2.00e-04,0.495,0.107,0.034,0.108,0.058,0.011,0.017,0.169,0.000
198,20358.99,21100.07,20947,0,9890,1,1.284,5984.7,rl_v4,2.00e-04,0.437,0.124,0.034,0.107,0.069,0.046,0.022,0.160,0.000
199,22428.00,21045.97,22919,0,9717,1,1.257,6019.6,rl_v4,2.00e-04,0.460,0.147,0.023,0.090,0.087,0.012,0.029,0.152,0.000
200,27150.00,21051.38,28158,0,14917,1,1.154,6059.2,rl_v4,2.00e-04,0.507,0.117,0.018,0.108,0.046,0.011,0.012,0.181,0.000
201,26867.00,21123.00,27508,0,15102,1,1.185,6096.4,rl_v4,2.00e-04,0.494,0.131,0.024,0.099,0.056,0.013,0.019,0.162,0.000
202,20276.96,21045.25,21698,0,11008,1,1.237,6134.5,rl_v4,2.00e-04,0.524,0.112,0.017,0.075,0.050,0.048,0.022,0.152,0.000
203,14984.89,20886.58,15099,0,4298,1,1.269,6165.5,rl_v4,2.00e-04,0.395,0.125,0.049,0.178,0.094,0.016,0.039,0.103,0.000
204,18714.49,20724.24,19039,0,6538,1,1.296,6198.4,rl_v4,2.00e-04,0.408,0.162,0.047,0.122,0.078,0.014,0.030,0.138,0.000
205,22568.00,20753.36,23012,0,10912,1,1.231,6235.5,rl_v4,2.00e-04,0.441,0.161,0.037,0.106,0.056,0.012,0.020,0.166,0.000
206,24593.00,20639.25,25273,0,12146,1,1.262,6274.4,rl_v4,2.00e-04,0.486,0.106,0.034,0.145,0.057,0.016,0.024,0.132,0.000
207,28883.00,20568.20,29376,0,16203,1,1.246,6314.0,rl_v4,2.00e-04,0.466,0.124,0.028,0.134,0.067,0.011,0.023,0.148,0.000
208,32737.50,20740.43,33453,0,21580,1,1.180,6353.4,rl_v4,2.00e-04,0.477,0.128,0.029,0.104,0.056,0.007,0.012,0.187,0.000
209,31434.00,20786.85,32415,0,21100,1,1.105,6391.9,rl_v4,2.00e-04,0.517,0.128,0.017,0.080,0.034,0.011,0.009,0.205,0.000
210,15064.40,20666.71,16243,0,2780,1,1.291,6429.9,rl_v4,2.00e-04,0.455,0.089,0.028,0.127,0.058,0.054,0.036,0.153,0.000
211,32416.50,20554.72,32951,0,20977,1,1.173,6468.0,rl_v4,2.00e-04,0.525,0.143,0.019,0.099,0.052,0.006,0.017,0.140,0.000
212,22266.00,20547.80,23784,0,12211,1,1.164,6508.6,rl_v4,2.00e-04,0.536,0.142,0.011,0.082,0.056,0.033,0.017,0.122,0.000
213,15883.45,20498.54,16162,0,6393,1,1.244,6541.5,rl_v4,2.00e-04,0.477,0.119,0.058,0.148,0.062,0.009,0.030,0.098,0.000
214,30504.50,20656.32,31302,0,17528,1,1.177,6580.4,rl_v4,2.00e-04,0.507,0.136,0.023,0.130,0.070,0.012,0.015,0.107,0.000
215,11523.63,20671.07,12238,0,1241,1,1.292,6612.4,rl_v4,2.00e-04,0.425,0.186,0.051,0.072,0.056,0.077,0.036,0.099,0.000
216,17398.65,20681.41,18504,0,6193,1,1.184,6648.5,rl_v4,2.00e-04,0.497,0.164,0.026,0.123,0.044,0.035,0.024,0.087,0.000
217,19853.00,20684.67,20285,0,8174,1,1.211,6682.7,rl_v4,2.00e-04,0.428,0.193,0.055,0.119,0.064,0.015,0.025,0.100,0.000
218,11329.25,20679.93,12395,0,3502,1,1.180,6725.8,rl_v4,2.00e-04,0.505,0.198,0.021,0.069,0.033,0.057,0.032,0.085,0.000
219,20815.99,20671.45,21584,0,8752,1,1.224,6770.3,rl_v4,2.00e-04,0.533,0.121,0.032,0.129,0.054,0.020,0.022,0.089,0.000
220,27631.50,20791.36,28568,0,16458,1,1.163,6822.2,rl_v4,2.00e-04,0.572,0.136,0.031,0.078,0.050,0.011,0.012,0.110,0.000
221,25765.00,20984.50,27199,0,11186,1,1.017,6869.5,rl_v4,2.00e-04,0.637,0.122,0.007,0.089,0.022,0.005,0.004,0.116,0.000
222,11434.81,20982.12,12357,0,1535,1,1.300,6917.0,rl_v4,2.00e-04,0.447,0.108,0.027,0.128,0.049,0.075,0.047,0.118,0.000
223,8192.04,20974.82,9335,0,3346,1,1.241,6963.1,rl_v4,2.00e-04,0.512,0.103,0.027,0.126,0.040,0.058,0.006,0.128,0.000
224,14910.41,21025.35,15744,0,3892,1,1.064,7005.2,rl_v4,2.00e-04,0.596,0.099,0.002,0.127,0.018,0.006,0.009,0.144,0.000
225,19901.99,20969.37,20752,0,8640,1,1.222,7051.4,rl_v4,2.00e-04,0.495,0.133,0.016,0.161,0.050,0.006,0.017,0.121,0.000
226,16514.94,20975.23,16707,0,7214,1,1.221,7083.6,rl_v4,2.00e-04,0.492,0.150,0.037,0.127,0.048,0.005,0.021,0.119,0.000
227,12465.61,20950.25,14113,0,-287,-1,1.128,7119.2,rl_v4,2.00e-04,0.568,0.104,0.004,0.097,0.024,0.032,0.033,0.140,0.000
228,15377.45,20894.40,15632,0,5498,1,1.255,7152.9,rl_v4,2.00e-04,0.474,0.149,0.029,0.132,0.063,0.016,0.028,0.110,0.000
229,18753.99,20860.13,19608,0,7352,1,1.220,7197.4,rl_v4,2.00e-04,0.452,0.093,0.030,0.222,0.043,0.030,0.029,0.100,0.000
230,14445.69,20705.49,15834,0,6769,1,1.185,7240.7,rl_v4,2.00e-04,0.541,0.157,0.008,0.075,0.024,0.042,0.044,0.110,0.000
231,17912.48,20774.27,18139,0,7270,1,1.252,7276.3,rl_v4,2.00e-04,0.481,0.139,0.028,0.118,0.061,0.016,0.045,0.113,0.000
232,19643.50,20781.96,19996,0,9023,1,1.238,7308.3,rl_v4,2.00e-04,0.478,0.141,0.026,0.114,0.055,0.023,0.022,0.142,0.000
233,13805.34,20717.79,13734,0,6798,1,1.295,7339.4,rl_v4,2.00e-04,0.436,0.155,0.053,0.142,0.066,0.016,0.033,0.099,0.000
234,9508.19,20433.66,10270,0,3119,1,1.318,7377.2,rl_v4,2.00e-04,0.435,0.126,0.021,0.128,0.075,0.068,0.026,0.121,0.000
235,40165.50,20410.30,41523,1,25437,1,1.052,7430.8,rl_v4,2.00e-04,0.580,0.133,0.012,0.133,0.033,0.007,0.005,0.096,0.000
236,14522.39,20360.72,15422,0,2768,1,1.301,7468.0,rl_v4,2.00e-04,0.404,0.165,0.031,0.164,0.046,0.055,0.035,0.100,0.000
237,15580.89,20405.75,15986,0,7312,1,1.266,7498.4,rl_v4,2.00e-04,0.429,0.213,0.037,0.130,0.040,0.043,0.021,0.088,0.000
238,19310.99,20426.50,19656,0,7581,1,1.296,7533.0,rl_v4,2.00e-04,0.438,0.175,0.038,0.153,0.055,0.015,0.020,0.106,0.000
239,13604.73,20336.95,14861,0,2169,1,1.292,7572.7,rl_v4,2.00e-04,0.452,0.132,0.031,0.150,0.030,0.039,0.038,0.128,0.000
240,8861.46,20231.51,10134,0,1522,1,1.257,7607.5,rl_v4,2.00e-04,0.556,0.138,0.013,0.082,0.031,0.030,0.033,0.117,0.000
241,33210.50,20402.88,34916,0,22862,1,1.066,7651.5,rl_v4,2.00e-04,0.621,0.107,0.014,0.127,0.025,0.011,0.004,0.091,0.000
242,12618.46,20277.12,13480,0,4621,1,1.331,7686.4,rl_v4,2.00e-04,0.454,0.154,0.016,0.119,0.058,0.047,0.027,0.126,0.000
243,29228.00,20394.89,30265,0,16839,1,1.178,7726.1,rl_v4,2.00e-04,0.541,0.116,0.014,0.135,0.036,0.013,0.011,0.134,0.000
244,13432.99,20245.32,14538,0,891,1,1.245,7762.6,rl_v4,2.00e-04,0.501,0.112,0.036,0.121,0.024,0.028,0.021,0.158,0.000
245,26858.50,20306.19,27665,0,16293,1,1.207,7799.7,rl_v4,2.00e-04,0.499,0.122,0.018,0.123,0.041,0.010,0.015,0.172,0.000
246,18851.90,20120.38,19369,0,7535,1,1.237,7835.5,rl_v4,2.00e-04,0.422,0.141,0.030,0.135,0.035,0.019,0.027,0.191,0.000
247,32930.00,20346.66,33600,1,16977,1,1.261,7875.2,rl_v4,2.00e-04,0.436,0.131,0.038,0.079,0.036,0.033,0.038,0.209,0.000
248,10078.55,20201.81,11159,0,4221,1,1.337,7908.4,rl_v4,2.00e-04,0.395,0.074,0.019,0.129,0.043,0.098,0.056,0.186,0.000
249,16542.75,20293.56,17227,0,4114,1,1.188,7941.6,rl_v4,2.00e-04,0.452,0.135,0.020,0.104,0.036,0.033,0.024,0.195,0.000
250,14154.63,20178.07,15457,0,3231,1,1.306,7978.9,rl_v4,2.00e-04,0.463,0.072,0.021,0.143,0.033,0.054,0.034,0.180,0.000
251,20864.49,20104.43,21165,0,9513,1,1.258,8013.4,rl_v4,2.00e-04,0.430,0.142,0.041,0.124,0.046,0.013,0.027,0.178,0.000
252,26226.00,20225.75,27097,0,13813,1,1.178,8051.4,rl_v4,2.00e-04,0.491,0.103,0.017,0.100,0.033,0.021,0.020,0.214,0.000
253,17337.93,20153.56,17880,0,9040,1,1.262,8082.1,rl_v4,2.00e-04,0.465,0.104,0.024,0.100,0.041,0.035,0.025,0.207,0.000
254,20825.49,20154.12,19780,1,9059,1,1.301,8111.1,rl_v4,2.00e-04,0.405,0.132,0.041,0.100,0.058,0.026,0.046,0.193,0.000
255,31197.00,20285.25,30604,1,16312,1,1.237,8147.2,rl_v4,2.00e-04,0.478,0.109,0.040,0.085,0.033,0.016,0.020,0.220,0.000
256,15919.24,20131.73,17055,0,6054,1,1.299,8183.0,rl_v4,2.00e-04,0.458,0.072,0.015,0.076,0.043,0.085,0.036,0.215,0.000
257,26799.00,20262.51,28349,0,16335,1,1.091,8226.4,rl_v4,2.00e-04,0.535,0.051,0.006,0.093,0.010,0.028,0.011,0.265,0.000
258,21389.50,20325.38,22059,0,10708,1,1.180,8259.9,rl_v4,2.00e-04,0.533,0.082,0.019,0.079,0.031,0.014,0.014,0.228,0.000
259,17405.98,20323.20,17914,0,5591,1,1.198,8290.2,rl_v4,2.00e-04,0.530,0.070,0.012,0.111,0.034,0.024,0.022,0.197,0.000
260,21604.49,20300.63,22689,0,10973,1,1.088,8326.8,rl_v4,2.00e-04,0.545,0.071,0.019,0.116,0.016,0.023,0.018,0.192,0.000
261,20322.49,20219.97,21641,0,9466,1,1.068,8361.8,rl_v4,2.00e-04,0.593,0.067,0.015,0.071,0.016,0.047,0.013,0.177,0.000
262,13535.85,20151.08,13760,0,5864,1,1.190,8388.3,rl_v4,2.00e-04,0.556,0.074,0.022,0.089,0.028,0.041,0.020,0.169,0.000
263,13447.01,20190.01,15689,0,3426,1,1.088,8430.7,rl_v4,2.00e-04,0.608,0.033,0.004,0.078,0.014,0.055,0.036,0.172,0.000
264,19148.99,20246.81,20589,0,8658,1,1.051,8465.9,rl_v4,2.00e-04,0.633,0.033,0.015,0.100,0.016,0.035,0.015,0.152,0.000
265,15717.46,20182.24,17439,0,5852,1,1.086,8498.8,rl_v4,2.00e-04,0.615,0.075,0.011,0.058,0.017,0.046,0.019,0.161,0.000
266,14085.30,20148.49,15093,0,4410,1,1.094,8528.3,rl_v4,2.00e-04,0.596,0.090,0.012,0.047,0.023,0.031,0.020,0.180,0.000
267,18614.98,20065.08,20116,0,7725,1,0.984,8566.2,rl_v4,2.00e-04,0.646,0.043,0.012,0.066,0.015,0.040,0.014,0.164,0.000
268,11794.86,19972.90,12976,0,3703,1,1.045,8596.9,rl_v4,2.00e-04,0.613,0.060,0.018,0.054,0.007,0.060,0.016,0.170,0.000
269,14900.47,19898.05,15889,0,6125,1,1.025,8625.8,rl_v4,2.00e-04,0.668,0.049,0.013,0.063,0.016,0.026,0.012,0.155,0.000
270,20203.49,19885.25,22203,0,9887,1,0.730,8659.9,rl_v4,2.00e-04,0.790,0.043,0.004,0.020,0.005,0.020,0.003,0.114,0.000
271,13499.10,19871.20,15266,0,3390,1,0.984,8697.7,rl_v4,2.00e-04,0.662,0.059,0.019,0.045,0.004,0.036,0.033,0.143,0.000
272,16540.89,19868.56,17656,0,9312,1,0.868,8727.5,rl_v4,2.00e-04,0.700,0.023,0.011,0.035,0.011,0.057,0.011,0.150,0.000
273,10308.06,19732.47,11456,0,5453,1,0.822,8755.7,rl_v4,2.00e-04,0.724,0.041,0.006,0.034,0.007,0.042,0.007,0.140,0.000
274,15260.73,19734.22,16645,0,6969,1,0.883,8788.2,rl_v4,2.00e-04,0.695,0.053,0.012,0.046,0.009,0.028,0.006,0.151,0.000
275,10598.96,19703.72,11099,0,2966,1,1.116,8814.1,rl_v4,2.00e-04,0.618,0.058,0.027,0.070,0.025,0.017,0.009,0.176,0.000
276,16322.41,19607.97,18209,0,6707,1,0.884,8848.0,rl_v4,2.00e-04,0.701,0.024,0.025,0.048,0.008,0.038,0.010,0.146,0.000
277,14051.86,19517.37,14927,0,4942,1,1.021,8878.1,rl_v4,2.00e-04,0.626,0.055,0.025,0.056,0.016,0.046,0.016,0.160,0.000
278,17633.98,19493.05,18971,0,6999,1,0.908,8909.7,rl_v4,2.00e-04,0.673,0.046,0.024,0.039,0.012,0.020,0.009,0.177,0.000
279,12647.38,19366.15,13639,0,2747,1,0.970,8942.3,rl_v4,2.00e-04,0.637,0.044,0.028,0.061,0.012,0.022,0.017,0.179,0.000
280,19820.50,19389.67,20623,0,8601,1,0.989,8973.7,rl_v4,2.00e-04,0.662,0.035,0.026,0.047,0.010,0.030,0.020,0.170,0.000
281,25967.00,19404.72,28447,0,12434,1,0.695,9013.8,rl_v4,2.00e-04,0.767,0.025,0.004,0.032,0.001,0.011,0.003,0.155,0.000
282,17374.81,19347.04,19221,0,7489,1,0.883,9054.5,rl_v4,2.00e-04,0.676,0.041,0.008,0.044,0.005,0.044,0.004,0.179,0.000
283,17383.18,19295.34,18933,0,8811,1,0.910,9088.5,rl_v4,2.00e-04,0.667,0.034,0.005,0.035,0.005,0.053,0.007,0.195,0.000
284,26682.00,19276.78,28769,0,17016,1,0.716,9126.2,rl_v4,2.00e-04,0.737,0.017,0.018,0.061,0.006,0.016,0.005,0.140,0.000
285,19032.00,19415.22,20402,0,9111,1,0.987,9159.3,rl_v4,2.00e-04,0.643,0.059,0.020,0.079,0.014,0.027,0.009,0.149,0.000
286,15385.72,19462.89,17121,0,3944,1,0.955,9196.5,rl_v4,2.00e-04,0.653,0.060,0.009,0.038,0.008,0.047,0.006,0.179,0.000
287,15718.27,19431.29,14842,1,5205,1,1.301,9225.1,rl_v4,2.00e-04,0.463,0.103,0.032,0.081,0.033,0.026,0.047,0.215,0.000
288,27235.50,19633.10,28161,0,15900,1,1.023,9260.0,rl_v4,2.00e-04,0.593,0.065,0.020,0.077,0.018,0.021,0.009,0.198,0.000
289,13079.09,19642.95,13373,0,4370,1,1.214,9289.1,rl_v4,2.00e-04,0.485,0.080,0.034,0.079,0.039,0.026,0.028,0.231,0.000
290,32238.00,19629.58,34246,0,22898,1,0.844,9329.5,rl_v4,2.00e-04,0.695,0.021,0.004,0.060,0.004,0.010,0.005,0.201,0.000
291,12448.61,19574.36,13476,0,3571,1,1.108,9362.5,rl_v4,2.00e-04,0.543,0.059,0.002,0.065,0.014,0.069,0.015,0.232,0.000
292,26319.00,19689.53,27625,0,16095,1,0.968,9397.6,rl_v4,2.00e-04,0.658,0.051,0.018,0.048,0.013,0.019,0.012,0.181,0.000
293,14695.35,19528.24,16623,0,2815,1,0.833,9436.4,rl_v4,2.00e-04,0.675,0.038,0.005,0.034,0.008,0.035,0.018,0.187,0.000
294,15263.78,19414.40,16528,0,5308,1,0.969,9468.0,rl_v4,2.00e-04,0.639,0.044,0.014,0.040,0.011,0.054,0.020,0.178,0.000
295,15410.95,19323.55,16680,0,4391,1,1.026,9499.9,rl_v4,2.00e-04,0.609,0.066,0.020,0.027,0.019,0.042,0.035,0.182,0.000
296,12617.48,19138.50,13800,0,6634,1,0.979,9530.8,rl_v4,2.00e-04,0.642,0.039,0.007,0.059,0.003,0.031,0.025,0.194,0.000
297,12768.27,19019.09,13851,0,4821,1,0.981,9561.9,rl_v4,2.00e-04,0.630,0.040,0.016,0.034,0.006,0.045,0.023,0.207,0.000
298,20922.00,19024.72,22746,0,9513,1,0.744,9596.7,rl_v4,2.00e-04,0.743,0.028,0.013,0.039,0.004,0.017,0.007,0.149,0.000
299,16504.45,18965.49,18101,0,6647,1,0.901,9630.0,rl_v4,2.00e-04,0.667,0.036,0.014,0.066,0.008,0.017,0.007,0.183,0.000
300,16279.93,18856.79,17175,0,8007,1,1.038,9662.2,rl_v4,2.00e-04,0.557,0.071,0.022,0.065,0.011,0.058,0.019,0.198,0.000
301,26941.00,18857.53,28381,0,15849,1,0.834,9698.7,rl_v4,2.00e-04,0.673,0.035,0.010,0.031,0.010,0.017,0.007,0.216,0.000
302,19649.49,18851.25,21520,0,6389,1,0.986,9736.0,rl_v4,2.00e-04,0.613,0.048,0.014,0.032,0.013,0.072,0.009,0.200,0.000
303,17889.96,18880.30,19330,0,7949,1,1.078,9771.7,rl_v4,2.00e-04,0.566,0.032,0.020,0.042,0.022,0.070,0.037,0.211,0.000
304,14378.51,18836.94,15273,0,3102,1,1.091,9806.5,rl_v4,2.00e-04,0.552,0.044,0.019,0.044,0.019,0.073,0.031,0.218,0.000
305,14491.89,18756.18,14890,0,7334,1,1.073,9833.9,rl_v4,2.00e-04,0.545,0.056,0.030,0.087,0.028,0.022,0.017,0.215,0.000
306,14715.84,18657.41,16053,0,4782,1,0.996,9867.4,rl_v4,2.00e-04,0.619,0.038,0.012,0.033,0.027,0.047,0.015,0.209,0.000
307,21457.00,18583.15,22619,0,10289,1,0.931,9902.0,rl_v4,2.00e-04,0.638,0.056,0.012,0.039,0.037,0.010,0.007,0.202,0.000
308,15178.90,18407.56,16082,0,6481,1,1.022,9930.0,rl_v4,2.00e-04,0.605,0.056,0.027,0.057,0.033,0.024,0.014,0.183,0.000
309,20685.49,18300.08,22602,0,9682,1,1.046,9971.0,rl_v4,2.00e-04,0.598,0.031,0.012,0.043,0.034,0.061,0.030,0.191,0.000
310,17386.34,18323.30,19048,0,7803,1,1.061,10010.2,rl_v4,2.00e-04,0.570,0.043,0.014,0.043,0.041,0.070,0.031,0.188,0.000
311,25006.00,18249.19,26687,0,10765,1,0.987,10044.5,rl_v4,2.00e-04,0.648,0.045,0.011,0.046,0.040,0.015,0.011,0.184,0.000
312,26772.50,18294.26,28051,0,13267,1,1.016,10081.9,rl_v4,2.00e-04,0.614,0.043,0.015,0.064,0.029,0.021,0.016,0.197,0.000
313,13442.35,18269.85,14090,0,6680,1,1.151,10110.3,rl_v4,2.00e-04,0.525,0.056,0.030,0.103,0.041,0.040,0.025,0.179,0.000
314,10113.94,18065.94,10165,0,4361,1,1.259,10136.0,rl_v4,2.00e-04,0.493,0.069,0.034,0.072,0.051,0.016,0.054,0.212,0.000
315,12252.55,18073.23,14057,0,2465,1,0.978,10174.8,rl_v4,2.00e-04,0.612,0.042,0.005,0.043,0.036,0.051,0.056,0.154,0.000
316,20853.99,18107.78,22240,0,8724,1,1.001,10209.7,rl_v4,2.00e-04,0.639,0.031,0.007,0.058,0.048,0.026,0.013,0.178,0.000
317,23464.00,18143.89,24524,1,9511,1,0.953,10242.8,rl_v4,2.00e-04,0.631,0.028,0.014,0.070,0.037,0.022,0.015,0.183,0.000
318,24360.50,18274.21,26073,0,14935,1,0.910,10279.1,rl_v4,2.00e-04,0.700,0.026,0.011,0.037,0.039,0.015,0.010,0.163,0.000
319,18080.96,18246.86,19066,0,6929,1,1.039,10313.2,rl_v4,2.00e-04,0.598,0.062,0.024,0.042,0.038,0.011,0.026,0.198,0.000
320,26999.00,18240.53,28421,0,16141,1,0.949,10348.1,rl_v4,2.00e-04,0.643,0.035,0.018,0.041,0.037,0.013,0.016,0.197,0.000
321,17609.41,18158.98,19064,0,6600,1,0.990,10384.6,rl_v4,2.00e-04,0.621,0.017,0.028,0.040,0.047,0.034,0.031,0.183,0.000
322,22011.49,18264.74,23995,0,12648,1,0.939,10424.0,rl_v4,2.00e-04,0.667,0.014,0.006,0.034,0.053,0.027,0.023,0.176,0.000
323,15666.38,18339.49,16390,0,6153,1,1.115,10456.7,rl_v4,2.00e-04,0.537,0.058,0.024,0.041,0.064,0.058,0.051,0.168,0.000
324,17515.93,18365.54,18814,0,5023,1,1.033,10488.6,rl_v4,2.00e-04,0.623,0.029,0.022,0.041,0.050,0.020,0.027,0.188,0.000
325,18602.99,18352.55,19265,0,8549,1,1.025,10519.3,rl_v4,2.00e-04,0.600,0.059,0.028,0.038,0.054,0.012,0.031,0.178,0.000
326,9379.97,18281.20,9807,0,4360,1,1.198,10544.7,rl_v4,2.00e-04,0.536,0.040,0.037,0.051,0.043,0.026,0.094,0.174,0.000
327,24426.50,18400.81,26067,0,13925,1,0.926,10582.7,rl_v4,2.00e-04,0.661,0.021,0.016,0.043,0.067,0.042,0.023,0.128,0.000
328,9624.02,18343.28,10563,0,3315,1,1.056,10612.3,rl_v4,2.00e-04,0.571,0.026,0.026,0.063,0.026,0.081,0.072,0.136,0.000
329,16458.97,18320.33,17167,0,9163,1,1.055,10640.7,rl_v4,2.00e-04,0.625,0.060,0.035,0.046,0.043,0.037,0.025,0.130,0.000
330,23194.00,18407.81,24636,0,11073,1,0.990,10674.9,rl_v4,2.00e-04,0.627,0.041,0.022,0.060,0.050,0.032,0.024,0.143,0.000
331,11741.05,18346.09,12531,0,2677,1,1.179,10706.1,rl_v4,2.00e-04,0.488,0.044,0.051,0.071,0.070,0.085,0.050,0.141,0.000
332,11343.42,18263.09,12398,0,3600,1,1.013,10735.5,rl_v4,2.00e-04,0.607,0.024,0.032,0.038,0.059,0.070,0.029,0.141,0.000
333,13712.57,18262.17,15305,0,5309,1,0.861,10767.5,rl_v4,2.00e-04,0.720,0.024,0.028,0.048,0.030,0.021,0.020,0.109,0.000
334,9791.37,18265.00,11184,0,1238,1,1.105,10800.7,rl_v4,2.00e-04,0.507,0.037,0.028,0.065,0.049,0.094,0.098,0.121,0.000
335,8129.33,17944.64,9326,0,-176,-1,1.001,10832.5,rl_v4,2.00e-04,0.605,0.034,0.016,0.047,0.031,0.082,0.081,0.103,0.000
336,14695.59,17946.37,16329,0,4358,1,0.821,10865.0,rl_v4,2.00e-04,0.727,0.023,0.027,0.038,0.044,0.044,0.024,0.074,0.000
337,12855.72,17919.12,14136,0,6784,1,0.863,10893.9,rl_v4,2.00e-04,0.746,0.016,0.013,0.027,0.031,0.042,0.039,0.087,0.000
338,8272.23,17808.73,8992,0,1843,1,1.074,10920.3,rl_v4,2.00e-04,0.600,0.063,0.038,0.044,0.060,0.074,0.021,0.099,0.000
339,13440.23,17807.08,14475,0,5008,1,0.947,10950.5,rl_v4,2.00e-04,0.657,0.040,0.048,0.045,0.057,0.023,0.028,0.102,0.000
340,7781.12,17796.28,8420,0,2701,1,1.125,10977.8,rl_v4,2.00e-04,0.516,0.053,0.039,0.027,0.081,0.111,0.071,0.102,0.000
341,12051.94,17584.69,13345,0,4356,1,1.071,11012.1,rl_v4,2.00e-04,0.562,0.053,0.046,0.028,0.044,0.123,0.050,0.094,0.000
342,16106.89,17619.58,17566,0,5407,1,1.015,11047.0,rl_v4,2.00e-04,0.587,0.027,0.038,0.048,0.094,0.078,0.037,0.091,0.000
343,9407.65,17421.38,10436,0,3127,1,1.130,11078.4,rl_v4,2.00e-04,0.504,0.048,0.042,0.035,0.031,0.123,0.113,0.105,0.000
344,8903.68,17376.08,10014,0,-1340,-1,1.151,11109.6,rl_v4,2.00e-04,0.489,0.058,0.045,0.027,0.056,0.132,0.087,0.106,0.000
345,9460.19,17202.10,10374,0,2631,1,1.165,11140.2,rl_v4,2.00e-04,0.472,0.054,0.031,0.040,0.089,0.162,0.050,0.102,0.000
